# Bukkit 1.8.8 org.bukkit.Material, dumped from spigot-1.8.8.jar:
#   for (Material m : Material.values())
#       print(m.name(), m.getId(), m.isBlock() ? "block" : "item",
#             m.getMaxDurability(), m.getMaxStackSize());
#
# Vendored so tools/gen_blockmap.py is reproducible without the server jar.
# Material.getId() IS the vanilla numeric block/item id -- spot-checked against
# MCP-919's Block.registerBlocks(): WATER=8 flowing_water, STATIONARY_WATER=9
# water, LAVA=10 flowing_lava, STATIONARY_LAVA=11 lava, TNT=46 tnt,
# DOUBLE_STEP=43 double_stone_slab, STEP=44 stone_slab, LONG_GRASS=31 tallgrass.
#
# name	id	kind	maxDurability	maxStackSize
AIR	0	block	0	0
STONE	1	block	0	64
GRASS	2	block	0	64
DIRT	3	block	0	64
COBBLESTONE	4	block	0	64
WOOD	5	block	0	64
SAPLING	6	block	0	64
BEDROCK	7	block	0	64
WATER	8	block	0	64
STATIONARY_WATER	9	block	0	64
LAVA	10	block	0	64
STATIONARY_LAVA	11	block	0	64
SAND	12	block	0	64
GRAVEL	13	block	0	64
GOLD_ORE	14	block	0	64
IRON_ORE	15	block	0	64
COAL_ORE	16	block	0	64
LOG	17	block	0	64
LEAVES	18	block	0	64
SPONGE	19	block	0	64
GLASS	20	block	0	64
LAPIS_ORE	21	block	0	64
LAPIS_BLOCK	22	block	0	64
DISPENSER	23	block	0	64
SANDSTONE	24	block	0	64
NOTE_BLOCK	25	block	0	64
BED_BLOCK	26	block	0	64
POWERED_RAIL	27	block	0	64
DETECTOR_RAIL	28	block	0	64
PISTON_STICKY_BASE	29	block	0	64
WEB	30	block	0	64
LONG_GRASS	31	block	0	64
DEAD_BUSH	32	block	0	64
PISTON_BASE	33	block	0	64
PISTON_EXTENSION	34	block	0	64
WOOL	35	block	0	64
PISTON_MOVING_PIECE	36	block	0	64
YELLOW_FLOWER	37	block	0	64
RED_ROSE	38	block	0	64
BROWN_MUSHROOM	39	block	0	64
RED_MUSHROOM	40	block	0	64
GOLD_BLOCK	41	block	0	64
IRON_BLOCK	42	block	0	64
DOUBLE_STEP	43	block	0	64
STEP	44	block	0	64
BRICK	45	block	0	64
TNT	46	block	0	64
BOOKSHELF	47	block	0	64
MOSSY_COBBLESTONE	48	block	0	64
OBSIDIAN	49	block	0	64
TORCH	50	block	0	64
FIRE	51	block	0	64
MOB_SPAWNER	52	block	0	64
WOOD_STAIRS	53	block	0	64
CHEST	54	block	0	64
REDSTONE_WIRE	55	block	0	64
DIAMOND_ORE	56	block	0	64
DIAMOND_BLOCK	57	block	0	64
WORKBENCH	58	block	0	64
CROPS	59	block	0	64
SOIL	60	block	0	64
FURNACE	61	block	0	64
BURNING_FURNACE	62	block	0	64
SIGN_POST	63	block	0	64
WOODEN_DOOR	64	block	0	64
LADDER	65	block	0	64
RAILS	66	block	0	64
COBBLESTONE_STAIRS	67	block	0	64
WALL_SIGN	68	block	0	64
LEVER	69	block	0	64
STONE_PLATE	70	block	0	64
IRON_DOOR_BLOCK	71	block	0	64
WOOD_PLATE	72	block	0	64
REDSTONE_ORE	73	block	0	64
GLOWING_REDSTONE_ORE	74	block	0	64
REDSTONE_TORCH_OFF	75	block	0	64
REDSTONE_TORCH_ON	76	block	0	64
STONE_BUTTON	77	block	0	64
SNOW	78	block	0	64
ICE	79	block	0	64
SNOW_BLOCK	80	block	0	64
